Субъект;bbox;Relation
Братеево;(bbox=37.7264698,55.6172492,37.7934327,55.6487391); 531287
Даниловский район;(bbox=37.6062225,55.6842715,37.667811,55.7294899); 1281209
Донской район;(bbox=37.5823348,55.689062,37.6290788,55.7214281); 444908
Зябликово;(bbox=37.7273608,55.6112134,37.770721,55.6313813); 531264
Москворечье-Сабурово;(bbox=37.6221233,55.6278537,37.7295695,55.6583107); 455528
Нагатино-Садовники;(bbox=37.6218627,55.650766,37.6652447,55.6917118); 535655
Нагатинский Затон;(bbox=37.6533866,55.6501272,37.7123792,55.7007415); 455460
Нагорный район;(bbox=37.6035132,55.6405441,37.6271573,55.6906783); 535662
Орехово-Борисово Северное;(bbox=37.6710494,55.6068542,37.7304246,55.6361171); 455539
Орехово-Борисово Южное;(bbox=37.692603,55.5893771,37.7835886,55.61927); 456807
Царицыно;(bbox=37.6251623,55.6104649,37.686766,55.6408642); 950641
Чертаново Северное;(bbox=37.5773646,55.6206711,37.6308176,55.6454667); 535680
Чертаново Центральное;(bbox=37.5700115,55.6034909,37.6407195,55.6251596); 951305
Чертаново Южное;(bbox=37.572565,55.5663766,37.6333166,55.6101781); 950664
Юго-Западный административный округ;(bbox=37.4558032,55.4906574,37.6162201,55.7141825); 1304596
Академический район;(bbox=37.5522559,55.6726946,37.6016161,55.7063113); 1281220
Гагаринский район;(bbox=37.5300533,55.6808554,37.5887838,55.7141825); 1281648
Зюзино;(bbox=37.5639978,55.641339,37.6135718,55.6662788); 1292286
Коньково;(bbox=37.4984919,55.6236323,37.5639978,55.6572847); 952191
Котловка;(bbox=37.5780892,55.6640831,37.6162201,55.6915796); 1292211
Ломоносовский район;(bbox=37.5116624,55.6681446,37.5556014,55.689929); 1281702
Обручевский район;(bbox=37.4824526,55.6421795,37.5550917,55.6736905); 1292499
Северное Бутово;(bbox=37.5374731,55.5491088,37.6036895,55.5869943); 1257455
Тёплый Стан;(bbox=37.4558032,55.6100075,37.5204897,55.6494546); 951336
Черёмушки;(bbox=37.5390735,55.6494629,37.5856332,55.682096); 1281263
Южное Бутово;(bbox=37.4748211,55.4906574,37.6047598,55.5603153); 1257403
Ясенево;(bbox=37.4899591,55.5818072,37.5860156,55.6494629); 951334
Западный административный округ;(bbox=37.1840526,55.58256,37.5744922,55.8131756); 226149
Дорогомилово;(bbox=37.4892942,55.7228981,37.5744922,55.7535974); 446114
Внуково;(bbox=37.1840526,55.58256,37.3156388,55.6223905); 181288
Крылатское;(bbox=37.3655145,55.7448308,37.4651439,55.7773786); 240229
Кунцево;(bbox=37.3187058,55.7267169,37.4476794,55.8131756); 226927
Можайский район;(bbox=37.3774345,55.6988742,37.4549347,55.7298736); 1257472
Ново-Переделкино;(bbox=37.329442,55.6243,37.3870347,55.6687611); 446117
Очаково-Матвеевское;(bbox=37.4022126,55.662011,37.4948495,55.7215565); 1292749
Проспект Вернадского;(bbox=37.4737147,55.6616343,37.5241382,55.6885781); 1292679
Раменки;(bbox=37.4663185,55.6779753,37.5592563,55.7360626); 446115
Солнцево;(bbox=37.3678536,55.629617,37.4353378,55.6806198); 446116
Тропарёво-Никулино;(bbox=37.4322665,55.6370372,37.5063306,55.6851115); 1292731
Филёвский Парк;(bbox=37.4276586,55.7330146,37.5225208,55.7681092); 446112
Фили-Давыдково;(bbox=37.4379707,55.7099777,37.4985216,55.7430534); 446111
Северо-Западный административный округ;(bbox=37.332172,55.7406021,37.5217778,55.912631); 446092
Куркино;(bbox=37.3619833,55.8712165,37.4324149,55.912631); 442741
Митино;(bbox=37.332172,55.8211755,37.3961451,55.8680842); 442733
Покровское-Стрешнево;(bbox=37.3944388,55.8065481,37.4934076,55.8427064); 446081
Северное Тушино;(bbox=37.393757,55.8486837,37.4627969,55.8793846); 445279
Строгино;(bbox=37.3668183,55.7708554,37.4476344,55.8292298); 434560
Хорошёво-Мнёвники;(bbox=37.4030883,55.7406021,37.5217778,55.7936187); 428431
Щукино;(bbox=37.4459607,55.7876545,37.5038604,55.8154193); 431464
Южное Тушино;(bbox=37.3918198,55.831749,37.4700609,55.852879); 446080
Зеленоградский административный округ;(bbox=37.1314479,55.9479011,37.2684057,56.0212082); 1320358
Крюково;(bbox=37.1440028,55.9479011,37.2208248,55.9992444); 1320371
Матушкино;(bbox=37.17754,55.9869981,37.2312541,56.0186295); 1320566
Савёлки;(bbox=37.2092828,55.966915,37.2684057,56.0046684); 1320570
Силино;(bbox=37.1314479,55.9804388,37.2057143,56.0212082); 1320510
Старое Крюково;(bbox=37.1732618,55.9692362,37.2265871,55.9917134); 1320424
